Title,Link,Taglines,Description,Reference Link,,Icon
Zen QMS,https://app.zenqms.com/Secure/Login.aspx?returnurl=/#/,"Onboarding, Training",SOPs,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRE9PGxAiJePjYWPT9XxyTpCULRaHrhTv_9Zg&s
Jira,https://id.atlassian.com/login,"Onboarding, Tools",Get setup on tickets,https://armiusa.sharepoint.com/sites/DeepTissueCharacterizationCenterDTCC/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDeepTissueCharacterizationCenterDTCC%2FShared%20Documents%2FGeneral%2FData%20Science%20Team%2FSoftware%2FJira&viewid=a6dab740%2D9015%2D4061%2D8de6%2D1ae2f67a27ed&csf=1&web=1&e=dwVj8o&CID=d85e295d%2D00b4%2D48f2%2D8cf6%2Df2d520fad2a3&FolderCTID=0x012000DD70FE2B71AE9F449F5E11996FA6C9F7,,https://cdn.worldvectorlogo.com/logos/jira-3.svg
GitLab,https://gitlab.com/,"Onboarding, Tools",Code Share,https://armiusa.sharepoint.com/:w:/r/sites/DeepTissueCharacterizationCenterDTCC/_layouts/15/Doc.aspx?sourcedoc=%7BE5A63CD4-AB88-4B59-AF83-886F39DDD139%7D&file=Get%20Started%20with%20GitLab.docx&action=default&mobileredirect=true,,https://cdn.cookielaw.org/logos/aa14a5c8-79e3-442a-8177-464ad850b19d/e46c1d0d-1f66-481f-bc06-5427671431da/253e6fee-c4c0-4b60-bc35-79cdae5dda32/gitlab-logo-100.png
Khan Academy Bio,https://www.khanacademy.org/science/ap-biology,"Onboarding, Training",Biology Fundimentals,https://armiusa.sharepoint.com/:w:/r/sites/DeepTissueCharacterizationCenterDTCC/_layouts/15/Doc.aspx?sourcedoc=%7B08D57484-D813-4CC1-9553-007EC81BE3F7%7D&file=Khan%20Academy%20Biology%20and%20Chemistry%20Training%20v1.docx&wdOrigin=TEAMS-MAGLEV.p2p_ns.rwc&action=default&mobileredirect=true,,https://www.peaceme.in/wp-content/uploads/2023/08/khan-academy.png
Statistics 101,https://www.coursera.org/learn/stanford-statistics,"Onboarding, Training",Statistics 101,,,https://blog.coursera.org/wp-content/uploads/2020/12/cropped-android-chrome-512x512-1.png
iSolved,https://myisolved.com/,"Onboarding, HR",Timclock & Paystubs | HR Tools,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmcBIpBvlIGVZFbaKa1ZAAT6yrv9gNmSWB3Q&s
Doc String Training,https://realpython.com/documenting-python-code/,"Python, Training",Coding Edicate,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Python-logo-notext.svg/2048px-Python-logo-notext.svg.png
Coding Guide,https://realpython.com/python-ides-code-editors-guide/,"Python, Training",Coding Edicate,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Python-logo-notext.svg/2048px-Python-logo-notext.svg.png
Coding Notes Format,https://peps.python.org/pep-0008/,"Python, Training",Python Fundimentals,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Python-logo-notext.svg/2048px-Python-logo-notext.svg.png
Informatics course,https://www.coursera.org/learn/informatics,Training,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Python-logo-notext.svg/2048px-Python-logo-notext.svg.png
Matplotlib,https://olympus.mygreatlearning.com/courses/56749?pb_id=581,"Python, Training",Python Fundimentals,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Python-logo-notext.svg/2048px-Python-logo-notext.svg.png
Seaborn,https://olympus.mygreatlearning.com/courses/57915?pb_id=581,"Python, Training",,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Python-logo-notext.svg/2048px-Python-logo-notext.svg.png
Pandas,https://www.youtube.com/playlist?list=PL-osiE80TeTsWmV9i9c58mdDCSskIFdDS,"Python, Training",Python Fundimentals,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Python-logo-notext.svg/2048px-Python-logo-notext.svg.png
Pandas,https://olympus.mygreatlearning.com/courses/56747?pb_id=581,"Python, Training",Python Fundimentals,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Python-logo-notext.svg/2048px-Python-logo-notext.svg.png
Good coding Practicies,,"Python,Training",Python Fundimentals,https://armiusa.sharepoint.com/:w:/r/sites/DeepTissueCharacterizationCenterDTCC/_layouts/15/Doc.aspx?sourcedoc=%7B0D99A332-EEC5-484D-94E4-D20FAC382A85%7D&file=Python%20-%20Good%20Coding%20Practices.docx&action=default&mobileredirect=true,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Python-logo-notext.svg/2048px-Python-logo-notext.svg.png
Python download,https://www.python.org/downloads/,"Python, Installation",Install,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Python-logo-notext.svg/2048px-Python-logo-notext.svg.png
